ville_depart;ville_arrivee;distance_train;distance_voiture;tarif_peage
Paris;Marseille;658.5;774.6;35.72
Paris;Lyon;410.0;465.9;17.19
Paris;Toulouse;720.4;677.2;15.75
Paris;Nice;829.0;934.5;53.94
Paris;Nantes;376.3;381.0;33.35
Paris;Montpellier;655.4;747.3;26.93
Paris;Strasbourg;416.4;491.9;39.15
Paris;Bordeaux;497.3;582.8;26.41
Paris;Lille;202.0;221.2;17.52
Paris;Rennes;310.5;350.1;24.13
Paris;Toulon;702.3;840.5;43.14
Paris;Reims;128.6;145.2;14.56
Paris;Saint-Étienne;463.7;485.2;10.1
Paris;Le Havre;189.8;193.5;16.83
Paris;Dijon;259.8;314.5;22.2
Paris;Grenoble;557.9;577.5;28.7
Paris;Angers;297.1;295.6;25.5
Paris;Villeurbanne;0.0;473.3;21.65
Paris;Saint-Denis;4.1;9.4;0.0
Paris;Nîmes;608.9;714.2;26.49
Paris;Aix-en-Provence;640.8;757.5;38.32
Paris;Clermont-Ferrand;360.2;420.6;24.08
Paris;Le Mans;185.6;211.5;20.71
Paris;Brest;525.3;592.4;24.13
Paris;Tours;202.7;238.5;7.71
Paris;Amiens;115.5;138.0;5.62
Paris;Annecy;475.6;543.5;21.51
Paris;Limoges;355.1;391.3;7.08
Paris;Metz;279.8;332.4;28.34
Paris;Boulogne-Billancourt;0.0;10.3;0.0
Paris;Perpignan;801.5;849.3;31.07
Paris;Besançon;347.3;412.2;21.02
Paris;Orléans;109.4;136.2;4.31
Paris;Rouen;118.1;131.6;7.83
Paris;Montreuil;0.0;9.9;0.0
Paris;Caen;197.9;234.9;20.95
Paris;Argenteuil;9.3;14.4;0.0
Paris;Mulhouse;496.4;536.7;42.07
Paris;Saint-Paul;0.0;11265.6;30.52
Paris;Nancy;294.6;347.1;16.42
Paris;Tourcoing;213.3;231.2;17.52
Paris;Roubaix;215.7;229.5;17.52
Paris;Nanterre;5.8;13.1;0.02
Paris;Vitry-sur-Seine;3.7;11.1;0.0
Paris;Créteil;9.6;13.9;0.0
Paris;Avignon;616.0;691.3;33.24
Paris;Poitiers;291.4;342.2;13.52
Paris;Aubervilliers;0.0;7.6;0.0
Paris;Asnières-sur-Seine;4.5;9.2;0.0
Paris;Colombes;7.2;13.3;0.0
Paris;Dunkerque;279.8;293.2;17.52
Paris;Aulnay-sous-Bois;14.0;22.0;0.0
Paris;Saint-Pierre;0.0;11258.0;30.52
Paris;Versailles;14.4;23.1;1.19
Paris;Le Tampon;0.0;11258.0;30.52
Paris;Courbevoie;4.1;9.7;0.0
Paris;Béziers;734.3;756.0;27.02
Paris;La Rochelle;421.9;475.4;20.78
Paris;Rueil-Malmaison;10.2;16.1;0.68
Paris;Cherbourg-en-Cotentin;313.6;356.7;20.95
Paris;Champigny-sur-Marne;10.6;16.2;0.0
Paris;Pau;699.8;792.8;42.19
Paris;Mérignac;505.4;591.4;26.41
Paris;Saint-Maur-des-Fossés;9.5;13.8;0.0
Paris;Antibes;811.5;914.4;43.65
Paris;Fort-de-France;0.0;1998.2;37.34
Paris;Ajaccio;0.0;1325.1;53.94
Paris;Cannes;802.7;905.4;42.89
Paris;Saint-Nazaire;431.7;440.3;34.26
Paris;Mamoudzou;0.0;11121.4;30.52
Paris;Drancy;11.1;11.5;0.0
Paris;Noisy-le-Grand;11.7;19.7;0.14
Paris;Issy-les-Moulineaux;1.2;9.8;0.0
Paris;Cergy;26.8;35.7;0.0
Paris;Levallois-Perret;1.6;7.2;0.0
Paris;Colmar;459.3;554.4;40.33
Paris;Calais;298.9;287.1;38.32
Paris;Pessac;503.7;596.3;26.41
Paris;Vénissieux;400.8;471.0;17.19
Paris;Évry-Courcouronnes;23.8;37.5;0.0
Paris;Clichy;0.0;7.5;0.0
Paris;Valence;505.9;568.9;21.52
Paris;Ivry-sur-Seine;2.0;7.3;0.0
Paris;Bourges;210.4;247.3;12.74
Paris;Quimper;526.9;565.1;24.13
Paris;Cayenne;0.0;1998.2;37.34
Paris;Antony;6.1;22.4;0.0
Paris;Troyes;145.5;170.7;6.97
Paris;La Seyne-sur-Mer;706.7;838.2;42.56
Paris;Villeneuve-d'Ascq;206.5;220.5;17.52
Paris;Montauban;674.7;623.9;11.75
Paris;Pantin;1.9;7.4;0.0
Paris;Chambéry;455.8;569.0;27.71
Paris;Niort;359.0;411.6;19.59
Paris;Neuilly-sur-Seine;0.0;7.5;0.0
Paris;Sarcelles;12.8;18.0;0.0
Paris;Le Blanc-Mesnil;12.7;17.2;0.0
Paris;Maisons-Alfort;6.2;9.6;0.0
Paris;Lorient;466.6;502.9;24.13
Paris;Villejuif;0.0;10.7;0.0
Paris;Saint-André;0.0;11258.0;30.52
Paris;Fréjus;786.3;876.0;42.12
Paris;Beauvais;80.3;79.4;2.56
Paris;Narbonne;742.5;788.9;28.62
Paris;Meaux;41.0;55.4;11.77
Paris;Hyères;720.7;863.8;44.1
Paris;Bobigny;0.0;10.5;0.0
Paris;La Roche-sur-Yon;437.5;422.2;41.98
Paris;Clamart;4.8;11.7;0.0
Paris;Vannes;419.3;461.8;24.13
Paris;Chelles;16.5;25.3;0.0
Paris;Cholet;317.9;358.3;30.45
Paris;Saint-Louis;0.0;11258.0;30.52
Paris;Épinay-sur-Seine;9.0;14.0;0.0
Paris;Saint-Ouen-sur-Seine;1.4;6.8;0.0
Paris;Saint-Quentin;140.2;164.2;15.19
Paris;Bondy;7.7;16.9;0.0
Paris;Bayonne;668.4;768.1;31.12
Paris;Corbeil-Essonnes;27.4;39.2;0.56
Paris;Cagnes-sur-Mer;820.4;922.7;44.1
Paris;Vaulx-en-Velin;0.0;470.0;21.65
Paris;Les Abymes;0.0;1998.2;37.34
Paris;Sevran;17.0;23.3;0.0
Paris;Fontenay-sous-Bois;6.8;11.5;0.0
Paris;Sartrouville;12.5;17.5;0.0
Paris;Massy;11.2;21.7;0.0
Paris;Arles;612.4;761.2;30.87
Paris;Saint-Laurent-du-Maroni;0.0;1998.2;37.34
Paris;Albi;788.5;682.0;11.51
Paris;Laval;242.7;284.3;23.42
Paris;Saint-Herblain;353.3;389.4;34.26
Paris;Gennevilliers;3.1;11.2;0.0
Paris;Suresnes;6.4;12.2;0.0
Paris;Saint-Priest;405.0;481.9;22.22
Paris;Vincennes;2.7;7.9;0.0
Paris;Bastia;0.0;1181.8;53.94
Paris;Martigues;689.4;779.6;35.72
Paris;Les Sables-d'Olonne;437.5;461.1;42.6
Paris;Grasse;819.1;917.6;43.21
Paris;Montrouge;0.0;6.5;0.0
Paris;Aubagne;673.7;794.2;39.92
Paris;Saint-Malo;377.8;401.3;20.95
Paris;Évreux;87.3;96.1;5.51
Paris;La Courneuve;5.8;10.5;0.0
Paris;Blois;252.2;186.8;5.98
Paris;Brive-la-Gaillarde;433.8;485.4;7.75
Paris;Charleville-Mézières;206.2;233.7;15.53
Paris;Meudon;4.2;15.0;0.0
Paris;Carcassonne;795.6;768.4;20.84
Paris;Choisy-le-Roi;7.9;14.7;0.0
Paris;Noisy-le-Sec;6.3;12.9;0.0
Paris;Livry-Gargan;0.0;21.0;0.0
Paris;Rosny-sous-Bois;8.7;14.7;0.0
Paris;Talence;501.8;594.6;26.41
Paris;Belfort;413.4;500.7;38.13
Paris;Alfortville;7.6;10.9;0.0
Paris;Chalon-sur-Saône;326.5;340.2;13.2
Paris;Salon-de-Provence;714.4;729.3;35.02
Paris;Sète;681.4;771.4;27.25
Paris;Istres;710.4;754.7;35.93
Paris;Mantes-la-Jolie;47.2;56.8;4.03
Paris;Saint-Germain-en-Laye;17.8;32.2;2.54
Paris;Saint-Brieuc;407.1;449.6;24.13
Paris;Tarbes;857.3;830.2;44.16
Paris;Alès;660.3;698.5;26.45
Paris;Châlons-en-Champagne;174.2;188.3;16.23
Paris;Bagneux;0.0;8.5;0.0
Paris;Puteaux;4.6;10.9;0.0
Paris;Caluire-et-Cuire;0.0;469.4;21.41
Paris;Bron;0.0;476.8;21.7
Paris;Rezé;346.4;390.4;33.35
Paris;Valenciennes;247.8;207.2;20.79
Paris;Châteauroux;239.8;272.2;7.08
Paris;Garges-lès-Gonesse;11.7;17.3;0.0
Paris;Castres;795.4;704.4;11.51
Paris;Arras;255.4;181.0;15.37
Paris;Melun;40.9;48.9;3.26
Paris;Thionville;307.0;345.1;28.34
Paris;Le Cannet;0.0;906.1;43.21
Paris;Bourg-en-Bresse;363.4;430.9;16.64
Paris;Anglet;0.0;773.5;31.12
Paris;Angoulême;395.5;452.0;14.56
Paris;Boulogne-sur-Mer;230.9;254.4;17.61
Paris;Wattrelos;0.0;234.5;17.52
Paris;Gap;588.0;678.4;29.44
Paris;Villenave-d'Ornon;503.7;590.4;26.41
Paris;Montélimar;548.6;610.6;22.98
Paris;Compiègne;74.7;81.0;3.14
Paris;Stains;0.0;14.0;0.0
Paris;Gagny;18.8;19.6;0.0
Paris;Colomiers;735.6;683.1;15.75
Paris;Poissy;22.2;27.6;2.64
Paris;Draguignan;0.0;870.3;41.41
Paris;Douai;231.5;204.3;17.52
Paris;Le Lamentin;0.0;1998.2;37.34
Paris;Bagnolet;0.0;9.4;0.0
Paris;Marcq-en-Barœul;0.0;224.6;17.52
Paris;Saint-Joseph;0.0;11258.0;30.52
Marseille;Lyon;289.5;313.5;18.43
Marseille;Toulouse;370.0;406.0;31.87
Marseille;Nice;175.2;201.0;15.1
Marseille;Nantes;1007.0;989.2;64.68
